End Date,Start Date,Start Time,Subject,End Time,All day,Calendar Name,Repeats,Repeats Until,Created By,Updated By,Creation Date,Last Update Date,Who,Location,Description,Attachments
09/03/2023,09/03/2023,13:00,261218-001/801 (cpe2/cpe2s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,sanpawat,516,,
09/03/2023,09/03/2023,13:00,261306-001/801 (cpe3/cpe3s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,"kasemsit,navadon",521,,
09/03/2023,09/03/2023,13:00,261752-001 (mcpe),14:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,patiwet,404,,
09/03/2023,09/03/2023,13:00,261342-701 (isne2),14:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,juggapong,518,,
09/03/2023,09/03/2023,14:00,อ.เอ็ม จอง ประชุมกับ นศ. ตรีโทเอก,16:30,,Room reservations,"Weekly on Monday and Thursday until March 31, 2023",31/3/2023,MEK WISARUT,,09/03/2023 21:39,,navadon,403,,
09/03/2023,09/03/2023,14:30,261208-001/801 (cpe2/cpe2s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,thanatip,516,,
09/03/2023,09/03/2023,14:30,261361-001/801 (cpe3/cpe3s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,lachana,521,,
09/03/2023,09/03/2023,14:30,261745-001 (mcpe),16:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,narissara,404,,
09/03/2023,09/03/2023,14:30,269105-701 (isne1) lab,17:30,,ISNE,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:52,,ken,518,,
09/03/2023,09/03/2023,16:00,261218-002 (cpe2),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sanpawat,516,,
09/03/2023,09/03/2023,16:00,261453-001/801 (cpe),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sansanee,501,,
09/03/2023,09/03/2023,16:00,261438-001/801 (cpe) | 261738-001 (mcpe),17:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,yuthapong,413A,,
09/03/2023,09/03/2023,16:00,Problem solving via programming,17:30,,Room reservations,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,chinawat,402,,
10/03/2023,10/03/2023,9:30,252281-001/801 (cpe1/cpe1s/reai2),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,,Slope,,
